"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
21,"0% : 100%",1,"",120.0,"",120.0,120.0,"",220.0,220.0,"",0.35325822845982846,0.35325822845982846,"gpba"
22,"100% : 0%",2,120.0,"",103.72936700000001,"",103.72936700000001,32.0,"",32.0,0.419039870445994,"",0.419039870445994,"gpba"
23,"90% : 10%",2,108.0,12.0,101.09900399999998,12.0,113.09900399999998,32.0,224.0,256.0,0.419039870445994,0.419487118892069,0.419487118892069,"gpba"
24,"80% : 20%",2,96.0,24.0,96.0,24.0,120.0,29.0,297.0,326.0,0.41903679464330923,0.4194968467136546,0.4194968467136546,"gpba"
25,"70% : 30%",2,84.0,36.0,84.0,33.0,117.0,25.0,287.0,312.0,0.41900668144603626,0.419493921258992,0.419493921258992,"gpba"
26,"60% : 40%",2,72.0,48.0,72.0,34.0,106.0,22.0,283.0,305.0,0.41871318635824545,0.41948191517743216,0.41948191517743216,"gpba"
27,"50% : 50%",2,60.0,60.0,60.0,33.0,93.0,19.0,287.0,306.0,0.41850537200624677,0.41947733438943324,0.41947733438943324,"gpba"
28,"40% : 60%",2,48.0,72.0,48.0,40.0,88.0,16.0,287.0,303.0,0.4138400457406386,0.4192731033980397,0.4192731033980397,"gpba"
29,"30% : 70%",2,36.0,84.0,36.0,40.0,76.0,14.0,289.0,303.0,0.4137815236884729,0.4192731033980397,0.4192731033980397,"gpba"
30,"20% : 80%",2,24.0,96.0,24.0,42.0,66.0,10.0,293.0,303.0,0.41342175943819226,0.41927053280516813,0.41927053280516813,"gpba"
31,"10% : 90%",2,12.0,108.0,12.0,42.0,54.0,5.0,304.0,309.0,0.4104958546691765,0.4191381615624614,0.4191381615624614,"gpba"
32,"0% : 100%",2,"",120.0,"",120.0,120.0,"",220.0,220.0,"",0.35327990296320333,0.35327990296320333,"gpba"
33,"100% : 0%",3,120.0,"",103.47029799999997,"",103.47029799999997,32.0,"",32.0,0.419039870445994,"",0.419039870445994,"gpba"
34,"90% : 10%",3,108.0,12.0,100.04995999999998,12.0,112.04995999999998,32.0,224.0,256.0,0.419039870445994,0.419487118892069,0.419487118892069,"gpba"
35,"80% : 20%",3,96.0,24.0,96.0,24.0,120.0,29.0,297.0,326.0,0.41903679464330923,0.4194968467136546,0.4194968467136546,"gpba"
36,"70% : 30%",3,84.0,36.0,84.0,33.0,117.0,25.0,287.0,312.0,0.41900668144603626,0.419493921258992,0.419493921258992,"gpba"
37,"60% : 40%",3,72.0,48.0,72.0,34.0,106.0,22.0,283.0,305.0,0.41871318635824545,0.41948191517743216,0.41948191517743216,"gpba"
38,"50% : 50%",3,60.0,60.0,60.0,33.0,93.0,19.0,287.0,306.0,0.41850537200624677,0.41947733438943324,0.41947733438943324,"gpba"
39,"40% : 60%",3,48.0,72.0,48.0,40.0,88.0,16.0,287.0,303.0,0.4138400457406386,0.4192731033980397,0.4192731033980397,"gpba"
40,"30% : 70%",3,36.0,84.0,36.0,40.0,76.0,14.0,289.0,303.0,0.4137815236884729,0.4192731033980397,0.4192731033980397,"gpba"
41,"20% : 80%",3,24.0,96.0,24.0,42.0,66.0,10.0,293.0,303.0,0.41342175943819226,0.41927053280516813,0.41927053280516813,"gpba"
42,"10% : 90%",3,12.0,108.0,12.0,42.0,54.0,5.0,304.0,309.0,0.4104958546691765,0.4191381615624614,0.4191381615624614,"gpba"
