"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
35,"80% : 20%",3,96.0,24.0,96.0,24.0,120.0,38.0,646.0,684.0,0.4034843566032093,0.40534660467829536,0.40534660467829536,"gpba"
36,"70% : 30%",3,84.0,36.0,84.0,36.0,120.0,35.0,713.0,748.0,0.4034315951519729,0.40534582363551735,0.40534582363551735,"gpba"
37,"60% : 40%",3,72.0,48.0,72.0,48.0,120.0,30.0,744.0,774.0,0.40327419811703097,0.4053314099414099,0.4053314099414099,"gpba"
38,"50% : 50%",3,60.0,60.0,60.034052,51.0,111.034052,26.0,736.0,762.0,0.4028420423698008,0.40533948050532737,0.40533948050532737,"gpba"
39,"40% : 60%",3,48.0,72.0,48.041158999999986,50.0,98.041159,22.0,739.0,761.0,0.40212715928184506,0.40533719266966506,0.40533719266966506,"gpba"
40,"30% : 70%",3,36.0,84.0,36.0,56.0,92.0,18.0,764.0,782.0,0.3992252567183541,0.4053380253199832,0.4053380253199832,"gpba"
41,"20% : 80%",3,24.0,96.0,24.0,59.0,83.0,14.0,741.0,755.0,0.3979982976361294,0.40533960954135595,0.40533960954135595,"gpba"
42,"10% : 90%",3,12.0,108.0,12.0,67.0,79.0,8.0,757.0,765.0,0.37239816051410835,0.40533153190797644,0.40533153190797644,"gpba"
43,"0% : 100%",3,"",120.0,"",120.0,120.0,"",327.0,327.0,"",0.40127287602640405,0.40127287602640405,"gpba"
44,"100% : 0%",4,120.0,"",120.0,"",120.0,44.0,"",44.0,0.4035011985781028,"",0.4035011985781028,"gpba"
45,"90% : 10%",4,108.0,12.0,108.0,12.0,120.0,43.0,471.0,514.0,0.4035006156931051,0.4053323297572791,0.4053323297572791,"gpba"
46,"80% : 20%",4,96.0,24.0,96.0,24.0,120.0,38.0,648.0,686.0,0.4034843566032093,0.40534662911930036,0.40534662911930036,"gpba"
