"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
1,"90% : 10%",0,108.0,12.0,10.789458000000005,5.0,15.789458000000005,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
2,"80% : 20%",0,96.0,24.0,10.885930000000002,5.0,15.885930000000002,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
3,"70% : 30%",0,84.0,36.0,10.521431000000002,5.0,15.521431000000002,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
4,"60% : 40%",0,72.0,48.0,10.565513,5.0,15.565513,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
5,"50% : 50%",0,60.0,60.0,10.566472999999998,5.0,15.566472999999998,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
6,"40% : 60%",0,48.0,72.0,10.891289,5.0,15.891289,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
7,"30% : 70%",0,36.0,84.0,10.902586000000001,5.0,15.902586000000001,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
8,"20% : 80%",0,24.0,96.0,11.248791000000006,5.0,16.248791000000004,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
9,"10% : 90%",0,12.0,108.0,10.706623000000002,5.0,15.706623000000002,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
10,"0% : 100%",0,"",120.0,"",23.0,23.0,"",387.0,387.0,"",0.7700486458056027,0.7700486458056027,"gpba"
11,"100% : 0%",1,120.0,"",10.548751999999999,"",10.548751999999999,36.0,"",36.0,0.7657933726952031,"",0.7657933726952031,"gpba"
12,"90% : 10%",1,108.0,12.0,10.764500000000002,5.0,15.764500000000002,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
13,"80% : 20%",1,96.0,24.0,10.911996999999996,5.0,15.911996999999996,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
14,"70% : 30%",1,84.0,36.0,10.518789000000005,5.0,15.518789000000005,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
15,"60% : 40%",1,72.0,48.0,10.555036,5.0,15.555036,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
16,"50% : 50%",1,60.0,60.0,10.56064,5.0,15.56064,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
17,"40% : 60%",1,48.0,72.0,10.590036,5.0,15.590036,36.0,358.0,394.0,0.7657933726952031,0.7702223904757438,0.7702223904757438,"gpba"
